"n","j","k","m","theta","replication","index_form","index"
100,3,3,5,0.1,44,"multinomial",1.29685630733394
100,3,3,5,0.1,44,"mixed",1.29147888488946
100,3,3,5,0.1,44,"mixed_population",1.29147888824984
100,3,3,5,0.1,45,"multinomial",1.23341983030863
100,3,3,5,0.1,45,"mixed",1.22804842668581
100,3,3,5,0.1,45,"mixed_population",1.22804786683528
100,3,3,5,0.1,46,"multinomial",1.32300695158741
100,3,3,5,0.1,46,"mixed",1.31268740327853
100,3,3,5,0.1,46,"mixed_population",1.31268742268479
100,3,3,5,0.1,47,"multinomial",1.27353441639583
100,3,3,5,0.1,47,"mixed",1.26920157939966
100,3,3,5,0.1,47,"mixed_population",1.26920157414684
100,3,3,5,0.1,48,"multinomial",1.37866020982192
100,3,3,5,0.1,48,"mixed",1.36959157788491
100,3,3,5,0.1,48,"mixed_population",1.36959157446379
100,3,3,5,0.1,49,"multinomial",1.22236195987894
100,3,3,5,0.1,49,"mixed",1.21304055346728
100,3,3,5,0.1,49,"mixed_population",1.21304055349435
100,3,3,5,0.1,50,"multinomial",1.26340751983784
100,3,3,5,0.1,50,"mixed",1.25898433783933
100,3,3,5,0.1,50,"mixed_population",1.25898440372424
100,3,3,5,0.1,51,"multinomial",1.31311022140402
100,3,3,5,0.1,51,"mixed",1.30537396885548
100,3,3,5,0.1,51,"mixed_population",1.30537274612964
100,3,3,5,0.1,52,"multinomial",1.34582413828814
100,3,3,5,0.1,52,"mixed",1.33715156259396
100,3,3,5,0.1,52,"mixed_population",1.33715175855289
100,3,3,5,0.1,53,"multinomial",1.2561575985443
100,3,3,5,0.1,53,"mixed",1.25370487515612
100,3,3,5,0.1,53,"mixed_population",1.2537050488956
100,3,3,5,0.1,54,"multinomial",1.26488721314265
100,3,3,5,0.1,54,"mixed",1.25932791757497
100,3,3,5,0.1,54,"mixed_population",1.25932781754558
100,3,3,5,0.1,55,"multinomial",1.31588191563944
100,3,3,5,0.1,55,"mixed",1.31032005007092
100,3,3,5,0.1,55,"mixed_population",1.31032037618876
100,3,3,5,0.1,56,"multinomial",1.30884381817751
100,3,3,5,0.1,56,"mixed",1.30036164799637
100,3,3,5,0.1,56,"mixed_population",1.30036242878572
100,3,3,5,0.1,57,"multinomial",1.18853680543374
100,3,3,5,0.1,57,"mixed",1.18685413129861
100,3,3,5,0.1,57,"mixed_population",1.18685413153853
100,3,3,5,0.1,58,"multinomial",1.26554333930208
100,3,3,5,0.1,58,"mixed",1.26407137730161
100,3,3,5,0.1,58,"mixed_population",1.26407119674657
100,3,3,5,0.1,59,"multinomial",1.28765746029959
100,3,3,5,0.1,59,"mixed",1.28473864578431
100,3,3,5,0.1,59,"mixed_population",1.28473802370216
100,3,3,5,0.1,60,"multinomial",1.28079983671325
100,3,3,5,0.1,60,"mixed",1.27713280690427
100,3,3,5,0.1,60,"mixed_population",1.27713288093927
100,3,3,5,0.1,61,"multinomial",1.29297925482626
100,3,3,5,0.1,61,"mixed",1.28830887992318
100,3,3,5,0.1,61,"mixed_population",1.28830889075579
100,3,3,5,0.1,62,"multinomial",1.33452799967022
100,3,3,5,0.1,62,"mixed",1.33135021997578
100,3,3,5,0.1,62,"mixed_population",1.3313491426986
100,3,3,5,0.1,63,"multinomial",1.23241261238226
100,3,3,5,0.1,63,"mixed",1.22574680625325
100,3,3,5,0.1,63,"mixed_population",1.22574684602912
100,3,3,5,0.1,64,"multinomial",1.26705098540576
100,3,3,5,0.1,64,"mixed",1.26387526425025
100,3,3,5,0.1,64,"mixed_population",1.26387526053049
100,3,3,5,0.1,65,"multinomial",1.27590726900233
100,3,3,5,0.1,65,"mixed",1.27128341484924
100,3,3,5,0.1,65,"mixed_population",1.27128305276894
100,3,3,5,0.1,66,"multinomial",1.29531898845221
